as_of_year,respondent_id,agency_name,agency_abbr,agency_code,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,preapproval_name,preapproval,action_taken_name,action_taken,msamd_name,msamd,state_name,state_abbr,state_code,county_name,county_code,census_tract_number,applicant_ethnicity_name,applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_race_name_2,applicant_race_2,applicant_race_name_3,applicant_race_3,applicant_race_name_4,applicant_race_4,applicant_race_name_5,applicant_race_5,co_applicant_race_name_1,co_applicant_race_1,co_applicant_race_name_2,co_applicant_race_2,co_applicant_race_name_3,co_applicant_race_3,co_applicant_race_name_4,co_applicant_race_4,co_applicant_race_name_5,co_applicant_race_5,applicant_sex_name,applicant_sex,co_applicant_sex_name,co_applicant_sex,applicant_income_000s,purchaser_type_name,purchaser_type,denial_reason_name_1,denial_reason_1,denial_reason_name_2,denial_reason_2,denial_reason_name_3,denial_reason_3,rate_spread,hoepa_status_name,hoepa_status,lien_status_name,lien_status,edit_status_name,edit_status,sequence_number,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,application_date_indicator
2017,112837,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1400,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,New York County,61,21,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,Male,1,Male,1,535,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6735,24.60000038,73700,346.9899902,1311,61,
2017,37-1542226,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,490,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Bronx County,5,345,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,104,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3461,50.77000046,73700,117.7300034,606,608,
2017,708059,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,350,Not applicable,3,Application approved but not accepted,2,"Nassau County, Suffolk County - NY",35004,New York,NY,36,Nassau County,59,3037,Not applicable,4,Not Hispanic or Latino,2,Not applicable,7,,,,,,,,,Asian,2,,,,,,,,,Not applicable,4,Female,2,,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6533,28.5,110800,95.55000305,1936,1956,
2017,7811300008,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1360,Preapproval was not requested,2,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,616,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,715,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1572,6.170000076,73700,169.6799927,453,580,
2017,33-0941669,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,417,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,610.04,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,111,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6231,14.67000008,73700,55.54000092,418,606,
2017,26-3943038,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,460,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,610.03,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Female,2,92,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1838,68.87999725,73700,75.63999939,172,450,
2017,25080,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,446,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,610.03,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,90,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1838,68.87999725,73700,75.63999939,172,450,
2017,1884,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,257,Not applicable,3,Application approved but not accepted,2,"Albany, Schenectady, Troy - NY",10580,New York,NY,36,Albany County,1,145.01,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,82,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2433,2.589999914,83100,134.1699982,767,936,
2017,26-3943038,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,320,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Queens County,81,158.02,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,40,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4679,95.59999847,73700,95.5,655,1182,
2017,02-0594137,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,815,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1502,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,140,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2946,35.34000015,73700,157.9700012,542,908,
